field_name,display_name,simple_meaning,why_we_collect_it,example,data_type,allowed_values,source,category,layer,used_by,can_affect,depends_on,conflicts_with,if_missing,can_it_change,confidence,replaces
lead_id,Lead ID,The permanent reference number for this person in our system.,"So the same person can be followed across the CRM, WhatsApp, the LMS and payments without confusion.",SSEI-2026-000123,Text,Format SSEI-YYYY-NNNNNN,System generated at creation,Identity,Raw,Everything,Nothing directly,Nothing,Nothing,Cannot be missing. The record cannot exist without it.,Never,Certain,
full_name,Name,What they are called.,To address them properly and to check we are talking to the right person.,Aarav Mehta,Text,Free text,"Lead form, counsellor or WhatsApp profile",Identity,Raw,Message wording,Message wording,Nothing,Nothing,Messages use a neutral greeting with no name.,"Yes, a counsellor can correct it.",Declared,
mobile_e164,Mobile number,Their phone number in full international format.,It is how we reach them and how we recognise them.,+919812345678,Text,Starts with a country code,"Lead form, call, import",Identity,Raw,Whether we can contact them at all,Nothing,Nothing,Nothing,The lead cannot be worked. It goes to the data quality queue.,"Yes, if they give a new number.",Certain,
mobile_last10,Match key,"The last ten digits of the phone number, used to spot the same person twice.",It is how we check whether they are already a student or already in the system.,9812345678,Text,Ten digits,Calculated from the mobile number,Identity,Normalised,"Duplicate check, student master match",Relationship dimension,mobile_e164,Nothing,Duplicate checking cannot run.,Only when the number changes.,Certain,
email,Email,Their email address.,"A backup channel, and a second way to spot duplicates.",aarav@example.com,Text,Lowercase email,Lead form or import,Identity,Raw,Email channel availability,Nothing,Nothing,Nothing,Email is simply not used.,Yes,Declared,
consent_marketing,Marketing consent,Whether they agreed to receive promotional messages from us.,It is the legal gate on every promotional send.,true,Yes or no,"true, false",The consent checkbox on the form,Consent,Raw,Whether any marketing message may be sent,Whether any marketing message may be sent,Nothing,Nothing,No marketing message may go out. Only a single opt in request.,"Yes, they can withdraw it at any time.",Certain,
consent_timestamp,When they consented,The exact moment consent was captured.,It is the evidence if consent is ever questioned.,2026-08-17 06:40,Date and time,ISO timestamp,"System, at form submission",Consent,Raw,Compliance audit,Nothing,consent_marketing,Nothing,Consent is treated as not captured.,"Never, once written.",Certain,
whatsapp_optin_status,WhatsApp opt in,Whether WhatsApp will let us message them.,"WhatsApp is our main channel, so this decides whether the plan can run at all.",opted_in,Choice,"opted_in, opted_out, never_asked, blocked_by_user",Gupshup or the form checkbox,Consent,Raw,Whether WhatsApp may be used,Whether WhatsApp may be used,Nothing,Nothing,Treated as never asked. Only a utility opt in request may be sent.,Yes,Certain,
suppression_reason,Why we are not contacting them,"The single switch that stops all outbound messaging, and the reason.","One place to check before any send, so nobody is contacted who should not be.",opted_out,Choice,"none, opted_out, dnd, invalid, converted, duplicate, legal_hold","Calculated from opt outs, delivery failures, payments and merges",Consent,Derived,Every send,Every send,"Opt out events, delivery failures, payment success",Nothing,"Treated as none, meaning contact is allowed.","Yes, automatically.",Certain,"opt_out_flag, invalid_number_flag"
life_stage,Life stage,Where they are in education or work right now.,It is the single biggest driver of what we say and what we send.,College final year,Choice,"24 values from school class 9 to working 5 years plus, plus Unknown","Declared, or inferred from the source",Academic,Normalised,"Cohort, playbook, fit score, resource choice, wording","Cohort, playbook, fit score, resource choice, wording","current_qualification, graduation_year, work_experience_years",Course interest when the course does not suit the stage,Set to Unknown. The message asks one question instead of assuming.,Yes. A declared answer always overwrites a guess.,See life_stage_confidence,
life_stage_confidence,How sure we are about their life stage,"Whether they told us, or we worked it out.",It stops the system stating something as fact when it was only a guess.,Declared,Choice,"Declared, Inferred high, Inferred low, Unknown",Calculated from where the value came from,Academic,Derived,Whether copy may name the life stage,Message wording,life_stage,Nothing,"Treated as Unknown, which blocks life stage wording.","Yes, rises to Declared the moment they answer.",Certain,life_stage_source
current_qualification,Current or highest qualification,What they are studying or have finished.,It decides eligibility and which batch variant suits them.,B.Com,Choice,"School, B.Com, BBA, B.Tech, BA Economics, B.Sc Statistics, M.Com, MBA, CA qualified, CFA charterholder, Other, Unknown",Declared,Academic,Raw,"Eligibility, batch variant, fit score","Eligibility, batch variant, fit score",Nothing,Nothing,"Eligibility stays Unknown, which blocks payment links.",Yes,Declared,
graduation_year,Graduation year,The year they finish or finished their degree.,"CFA registration depends on it, and so does placement timing.",2027,Number,2020 to 2035,Declared,Academic,Raw,"Eligibility, urgency, attempt planning","Eligibility, urgency",Nothing,Nothing,We ask for it before any CFA commercial step.,Yes,Declared,
work_experience_years,Years of work experience,How long they have been working.,"It separates a fresher from a professional, which changes everything we send.",3,Number,0 to 40,Declared,Career,Raw,"Life stage, fit score","Life stage, fit score",Nothing,Nothing,Life stage is inferred from other signals or left Unknown.,Yes,Declared,
current_role,Job title,What they do at work.,A risk analyst asking about FRM gets a very different message from a general enquiry.,Risk Analyst,Text,Free text,Declared,Career,Raw,"Course fit, message wording","Resource choice, wording",Nothing,Nothing,Generic professional wording is used.,Yes,Declared,
is_parent_enquiry,Parent enquiry,Whether a parent is asking on behalf of a student.,"Parents need cost, outcomes and reassurance. Students need something else entirely.",true,Yes or no,"true, false",Declared or detected from the language used,Academic,Normalised,"Playbook, tone, which assets are sent, call timing","Playbook, tone, resource choice",Nothing,Nothing,Treated as a student enquiry.,Yes,Declared,
decision_maker,Who signs off,The person who actually approves the spend.,A sale cannot close through someone who is not the decision maker.,Parent,Choice,"Self, Parent, Employer, Self with parent input, Unknown",Declared or established on a call,Money,Raw,"Fit score, which assets are sent, who gets called","Fit score, resource choice",is_parent_enquiry,Nothing,"Assumed to be self, and flagged as unverified.",Yes,Declared,
course_interest_primary,Course they are asking about,"The specific course, if they named one.","It decides which content, price and batch are relevant.",CFA Level 1,Choice,22 course codes plus General finance career and Unknown,"Declared, or inferred from the page they came from",Course interest,Normalised,"Cohort, resource choice, fit and intent, wording","Cohort, resource choice, fit and intent",Nothing,Life stage when the course does not suit the stage,The discovery playbook runs. No brochure is ever sent.,Yes,See course_specificity,
course_specificity,How precisely they asked,"Whether they named an exact product, a course, a category or just a direction.",How specific someone is predicts buying better than which course they named.,Named course,Choice,"Exact ask, Named course, Category only, Direction only, Unknown",Calculated from what they wrote,Course interest,Derived,"Playbook, intent score, cadence, whether a counsellor is triggered","Playbook, intent score",course_interest_primary,Nothing,"Treated as Unknown, which starts discovery.","Yes, rises as they say more.",Certain,
course_variant,Which version of the course,The specific batch or package inside a course family.,"Price and hours differ by variant, so a fee answer is meaningless without it.",CFA Level 1 Accelerate,Text,Matches the product master,Counsellor or declared,Course interest,Normalised,"Price quoted, payment link",Price quoted,"course_interest_primary, weekly_study_hours",Nothing,No payment link may be issued.,Yes,Declared,
eligibility_status,Eligible,Whether the awarding body will let them sit this exam.,Selling a course someone cannot register for creates a refund and a bad outcome.,Eligible,Choice,"Eligible, Eligible with condition, Not yet eligible, Ineligible, Unknown",Checked against the awarding body rules,Course interest,Derived,"Playbook, priority, whether a payment link may be issued","Playbook, priority, payment permission","current_qualification, graduation_year, course_interest_primary",course_interest_primary,"Treated as Unknown, which blocks payment links until checked.","Yes, when the rules or their status change.",Verified or Unknown,
stage_suitability,Right step for them,Whether the course they want is the right one for where they are now.,Someone can be eligible and still be making a mistake.,Suitable,Choice,"Suitable, Too early, Overqualified, Needs checking",Rules engine,Course interest,Derived,"Playbook, fit score, what we recommend instead","Playbook, fit score","life_stage, course_interest_primary",Nothing,Treated as Needs checking.,Yes,Certain,
weekly_study_hours,Hours a week,How much time they can realistically give.,It decides which variant is honest to recommend.,10,Number,0 to 60,Declared,Money,Raw,"Fit score, variant recommended","Fit score, variant recommended",Nothing,Nothing,"Scored neutral. Asked with tappable ranges, never as an open question.",Yes,Declared,
budget_range,Budget,What they can spend.,"It decides whether to lead with the variant, the instalment plan, or neither.",25k to 40k,Choice,"Under 10k, 10k to 25k, 25k to 40k, 40k plus, Price sensitive, Not disclosed",Declared or established on a call,Money,Raw,"Fit score, which variant is offered","Fit score, variant offered",Nothing,Nothing,Scored neutral. Never guessed from city or college.,Yes,Declared,
emi_required,Needs instalments,Whether they need to pay in parts.,"Asking about instalments is a strong buying signal, not a weak one.",true,Yes or no,"true, false",Declared,Money,Raw,"Intent score, which assets are sent, counsellor trigger","Intent score, resource choice",Nothing,Nothing,Treated as false.,Yes,Declared,
purchase_timeline,When they want to start,Their own statement about timing.,It sets how often we contact them and whether a counsellor is worth it now.,Within 30 days,Choice,"Immediate, Within 7 days, Within 30 days, 1 to 3 months, 3 months plus, Undecided",Declared,Intent,Raw,"Intent score, cadence, priority","Intent score, cadence, priority",Nothing,Engagement when they say soon and then go quiet,Scored as Undecided.,Yes. It is re checked after 14 days because it goes stale.,Declared,
exam_attempt_target,Target exam,The exam sitting they are aiming at.,"It decides which batch, how urgent it is, and whether the timeline is honest.",Feb 2027,Text,"Month and year, or a window label",Declared,Course interest,Raw,"Intent score, batch matching, urgency wording","Intent score, batch matching",course_interest_primary,Nothing,The attempt planner is offered.,Yes,Declared,
days_to_target_exam,Days to the exam,How long until the sitting they are aiming at.,Under 30 days with nothing studied means we should say no.,180,Number,Calculated daily,Calculated from the exam calendar,Course interest,Derived,"Intent score, urgency wording, cadence caps","Intent score, cadence",exam_attempt_target,Nothing,Attempt proximity scores zero.,"Yes, recalculated every night.",Certain,exam_date_known
preparation_status,How far along they are,Whether they have started studying and how.,It decides whether we diagnose first or sell first.,Self study,Choice,"Not started, Self study, Studying elsewhere, Revision stage, Failed last attempt, Deferred",Declared,Course interest,Raw,"Resource choice, playbook","Resource choice, playbook",Nothing,Nothing,Assumed not started for the purpose of honesty checks.,Yes,Declared,
previous_attempt_history,Previous attempts,Whether they have sat this exam before.,"Retakers need diagnosis, not a sales pitch, and a completely different tone.",One fail,Choice,"None, One fail, Two or more fails, Deferred, Passed the previous level",Declared or from the student master,Course interest,Raw,"Playbook, tone, resource choice","Playbook, tone, resource choice",Nothing,Nothing,Treated as none.,Yes,Declared,
existing_student_status,Are they already a student,Whether this person has ever paid us.,It is the difference between selling and looking foolish.,Never purchased,Choice,"Never purchased, Active student, Past student, Lapsed access",Matched against the student master on the phone number,Cohort,Derived,"Playbook, owner, whether acquisition messaging is allowed at all","Playbook, owner, message permission",mobile_last10,previous_ssei_interaction,"Treated as never purchased. A wrong answer here is expensive, so the match runs on every lead.","Yes, on every master sync.",Verified,
existing_courses_owned,Courses they already own,What they have already bought.,It is what makes a cross sell relevant instead of random.,CFA Level 1,List,Course codes,Student master,Cohort,Derived,"Cross sell offer, contraindications",Cross sell offer,existing_student_status,Nothing,Cross sell cannot run.,Yes,Verified,
previous_ssei_interaction,What happened before,Any earlier contact with us that did not end in a purchase.,Opening as a stranger to someone we already spoke to loses the only advantage we have.,Prior lead lost,Choice,"None, Prior lead lost, Prior lead dormant, Webinar only, Scholarship exam only",CRM history,Cohort,Derived,"Message opening, reactivation angle",Message opening,Nothing,existing_student_status,Treated as none.,Yes,Verified,
source_detail,Where they came from,The exact entry point.,"It decides how the first message opens, what was promised, and how fast we must reply.",College seminar,Choice,45 values grouped into 9 source groups,"The form, the CRM or the entry integration",Source,Raw,"Message opening, response time target, intent score, resource choice","Message opening, response time, intent score",Nothing,"first_source and last_source, which are attribution only","Treated as Unknown, which uses a neutral opening and a 4 hour target.",No. It is fixed at entry.,Certain,
