step_no,step_name,plain_english,pseudocode,inputs,outputs,defined_in,can_stop_here,if_it_fails
1,Load what we have,"Pull everything known about this person: the form they filled, the CRM record, any earlier leads, and whether they already bought from us.",lead = load(lead_id)\nlead.history = crm.history(lead.mobile_last10)\nlead.master = student_master.match(lead.mobile_last10),"Raw lead record, CRM history, student master",One combined record,Field registry,No,The evaluation stops and the lead is flagged. Never evaluate on a partial load.
2,Check we are allowed to contact them,"Before anything else, check consent, opt outs, bad numbers and whether they already bought.","if suppression_check(lead) is blocked:\n    log('suppressed', reason)\n    return NO_ACTION","consent_marketing, whatsapp_optin_status, opt_out_flag, existing_student_status",suppression_reason,Guardrails GR-001 to GR-005,Yes. Nothing else runs.,"Nothing is sent. This is the correct outcome, not a failure."
3,Tidy the raw data,"Standardise the phone number, lowercase the email, match the city to the city master, map the source to one of the 45 known values.","lead.mobile_last10 = normalise_phone(lead.mobile_e164)\nlead.city_tier, lead.centre, lead.tz = city_master(lead.city)\nlead.source_detail = source_map(lead.raw_source)",Raw fields,Normalised fields,"Field registry, layer Normalised",No,Unmapped values are logged. A rising unmapped rate means the taxonomy has drifted.
4,Spot disagreements,"Where two sources say different things about the same fact, mark the field as disputed rather than picking one.","for f in DECISION_CRITICAL:\n    if sources_disagree(lead, f):\n        lead.field_conflict_flags.add(f)",All input fields,field_conflict_flags,Guardrails GR-013 to GR-015,No,The disputed field is not used in any message and a verification task is raised.
5,Resolve what can be resolved,"Use the precedence order: what they said themselves beats what a counsellor recorded, which beats a form, which beats a guess.",for f in lead.field_conflict_flags:\n    lead[f] = highest_precedence(lead.sources[f])\n    if still_tied: keep_flagged(f),Disputed fields,"Resolved values, remaining flags","Methodology, precedence order",No,Anything still tied stays flagged and stays out of the message.
6,Work out the nine dimensions,"Turn the tidy fields into the nine things we actually reason about: life stage, course interest, eligibility, capacity, relationship, source, engagement, urgency, location.","for d in DIMENSIONS:\n    lead.dim[d] = evaluate(d, lead)\n    lead.dim[d].confidence = confidence_of(d, lead)",Normalised fields,"Nine dimension values, each with a confidence",Dimensions,No,"A dimension that cannot be computed is set to Unknown, never guessed."
7,Apply the dependencies between them,Some dimensions depend on others. Eligibility needs the qualification. Suitability needs the life stage and the course.,"lead.dim.eligibility = check_eligibility(lead.dim.course, lead.dim.life_stage, lead.qualification)\nlead.dim.suitability = check_suitability(lead.dim.course, lead.dim.life_stage)",Dimension values,Updated dimension values,"Dimensions, depends_on column",No,"Unknown inputs produce Unknown outputs, which block payment links rather than guessing."
8,Run the checks,Run every active guardrail. Blocking ones stop the process. Conflicts and warnings are recorded and shown.,fired = [g for g in GUARDRAILS if g.active and g.condition(lead)]\nlead.guardrails_triggered = fired\nif any(g.severity == 'Blocking' for g in fired):\n    return blocked_action(fired),"Dimension values, all fields","List of fired rules, blocks",Guardrails,"Yes, on a blocking rule.","The user is told which rule fired and why, in plain English. Nothing is ever silently rejected."
9,Score the Fit,"How well does this course suit this person. Life stage, eligibility, suitability, capacity and relationship. This score never decays with time.","lead.fit_score = sum(component(c, lead) for c in FIT_COMPONENTS)\nlead.fit_confidence = confidence_from_completeness(lead)","Dimensions 1, 3, 4, 5","fit_score, fit_confidence",Scoring model,No,"Unknown inputs score neutral, never zero. A missing answer is not a bad answer."
10,Score the Intent,"How close are they to acting. Source, engagement, stated urgency and what they have asked for. This score decays after 7 days of silence.","lead.intent_score = sum(component(c, lead) for c in INTENT_COMPONENTS)\nlead.intent_score -= decay(lead.days_since_last_engagement)\nlead.intent_confidence = confidence_from_evidence(lead)","Dimensions 6, 7, 8","intent_score, intent_confidence",Scoring model,No,"A lead with no engagement data starts at their source baseline, not at zero."
