message_id,scenario,life_stage,course_context,source_context,intent_temp,trigger,channel,template_category,message_text,cta_type,resource_id,followup_delay_hours,next_message_if_no_reply,stop_condition,notes
M001,Class 12 student from a school or college seminar with no course selected,school_12,unknown,college_seminar,low,cohort_assigned and consent present,whatsapp,marketing,"Hi {{first_name}}, good to have you at the {{event_topic}} session at {{college_name}}. Most students your year are stuck on the same thing, which qualification to start with and when. We have a short assessment that maps your subjects and interests to a finance path. Should I send it here?",question,R01,48,M041,Reply received or 3 attempts,Never open with a course name for this cohort
M002,Class 12 student from organic Instagram asking whether CFA is possible after Class 12,school_12,cfa_l1,organic_instagram,low,inbound question classified as eligibility,whatsapp,service,"Hi {{first_name}}, short answer: CFA registration needs you to be in the final year of a bachelors degree or have work experience, so it is not a Class 12 entry point. What people in your position usually do is start with a graduation plan that runs alongside it. Want the eligibility sheet plus the two routes that are actually open right now?",question,R04,48,M042,Reply received or 3 attempts,Correct the premise plainly then offer the real route. Verify current CFA Institute entry rules before send
M003,Parent enquiring about ACCA for a child after Class 12,parent_enquirer,acca_full,website_form,medium,parent enquiry detected,whatsapp,marketing,"Good morning. You had asked about ACCA for {{student_name_if_parent}}. Three things usually decide it: how it runs alongside graduation, what the total cost across all levels comes to, and where students land after. I have put all three in one guide. Should I send it, or would you rather we talk it through on a call this evening?",choice,R20,24,M043,Reply received or 2 attempts,Answer outcome and cost before anything else. No slang. No urgency language
M004,College first year student who downloaded a career guide,college_ug_y1,general_finance_career,resource_download,low,promised resource delivered,whatsapp,service,"Here is the Finance Career Roadmap you asked for. One thing worth knowing in first year: the sequencing matters more than the course. Some qualifications are best started now and some are wasted if you start too early. Which of these is closer to you right now: exploring options, or already fairly sure about finance?",question,R02,72,M044,Reply received or 3 attempts,Resource first then the question. Never reverse the order
M005,College second year student interested in CFA,college_ug_y2,cfa_l1,website_course_page,medium,course page form fill,whatsapp,marketing,"Hi {{first_name}}, you were looking at CFA Level 1. In second year the useful question is timing. Register too early and you burn an attempt, too late and it misses placements. It depends on your graduation year and how many hours a week you actually have. Which graduation year are you?",question,R08,48,M045,Reply received or 3 attempts,Timing is the real question for this cohort not the syllabus
M006,Final year student interested in job oriented finance skills,college_ug_final,general_finance_career,college_seminar,medium,cohort assigned,whatsapp,marketing,"Hi {{first_name}}, you had mentioned placements when we met at {{college_name}}. The honest gap for most final year students is not knowledge, it is that they cannot show work. Recruiters screen on a model you have built, not a course you have enrolled in. We have a short skills check that shows exactly where you stand. Want it here?",question,R07,48,M046,Reply received or 3 attempts,Do not name a course until a role is named
M007,Final year student interested in Analyst Stack,college_ug_final,analyst_stack,website_course_page,medium,course page form fill,whatsapp,marketing,"Hi {{first_name}}, Analyst Stack is built around what an analyst actually does in the first year of the job, so the fit depends on the role you are aiming at. Equity research, investment banking and corporate finance each need a different emphasis. Which one are you targeting?",question,R06,48,M047,Reply received or 3 attempts,Role first. The product only makes sense against a role
M008,Graduate comparing CFA with an MBA,recent_graduate,cfa_l1,organic_search,medium,comparison intent detected,whatsapp,marketing,"Hi {{first_name}}, CFA against MBA is really two different bets: depth in one domain versus a network plus a general management route. The right answer depends on whether you already have a finance role you want to go deeper in, or you are trying to change track entirely. Which of the two is your situation?",question,R36,48,M048,Reply received or 3 attempts,Never argue for CFA. Diagnose the situation
M009,Job seeker interested in Financial Modelling,job_seeker,financial_modelling,meta_leadgen_ad,medium,ad lead created,whatsapp,marketing,"Hi {{first_name}}, you asked about the Financial Modelling program. Since you are in the middle of applications, the useful thing is knowing which model type comes up in your target interviews. It is different for banking, equity research and corporate finance. Which roles are you applying to right now?",question,R06,24,M049,Reply received or 3 attempts,Speed matters. Send within 5 minutes of lead creation
M010,Working professional asking about CFA Level 1,working_prof_3_5,cfa_l1,google_search_ad,high,search ad form fill,whatsapp,marketing,"Hi {{first_name}}, on CFA Level 1 with a full time job, the two things that decide it are the attempt you pick and the hours you can actually give in a week. We have batch variants built for both ends of that. How many hours a week are realistic for you: under 8, 8 to 15, or 15 plus?",choice,R29,12,M050,Reply received or 3 attempts,Tappable ranges. Never ask an open ended hours question
