rule_id,priority_layer,layer_name,conditions,cohort_or_field_set,message_module,resource_id,cta,journey,overrides,notes
CR001,1,consent_suppression,opt_out_flag is true,suppression_reason set to opted_out and lead_state set to opted_out,none,none,none,suppressed,Overrides every rule below,No outbound of any category including transactional confirmations except a legally required receipt
CR002,1,consent_suppression,invalid_number_flag is true OR last_message_status is failed on three consecutive sends,lead_state set to invalid,none,none,none,suppressed,Overrides all,Route to data quality queue and attempt one email if consent exists
CR003,1,consent_suppression,consent_marketing is false AND whatsapp_optin_status is not opted_in,lead_state set to data_incomplete,consent_request_only,none,Reply YES to receive it here,suppressed,Overrides all message rules,Only a single opt in request may be sent. Utility template category only. Requires platform compliance review
CR004,1,consent_suppression,dnd_flag is yes,channel_sms and channel_voice disabled,none,none,none,unchanged,Overrides channel selection,WhatsApp with opt in remains permitted. Requires legal verification
CR005,1,consent_suppression,payment_completed_at is set AND days since payment below 30,lead_state set to converted and retargeting_eligible set to false,onboarding_only,R38,Access your course,suppressed,Overrides all acquisition rules,Prevents the common failure of marketing to a paying student
CR006,1,consent_suppression,duplicate_status is duplicate_merged,Merge into the surviving record,none,none,none,unchanged,Overrides first contact,Never send a second first message to the same person
CR007,1,consent_suppression,current local time outside 08:00 to 21:00 IST,journey_paused_reason set to quiet_hours,none,none,none,unchanged,Defers all sends,Queue and release at the next permitted window
CR008,1,consent_suppression,messages sent today at or above the cohort daily cap,journey_paused_reason set to frequency_cap,none,none,none,unchanged,Defers all sends,Cap is 1 per day for nurture and 3 per day for transactional threads
CR010,2,payment_event,payment_failure_count at 1 or above AND payment_completed_at is null,lead_state set to payment_failed and intent_temperature set to transactional,payment_recovery,R14,Try again on this link or tell me what went wrong,transactional,Overrides all educational content,Counsellor task at priority P0 within 30 minutes inside calling hours
CR011,2,payment_event,checkout_started_at is set AND payment_completed_at is null AND 2 hours elapsed,lead_state set to checkout_started,checkout_recovery,R14,Pick up where you left off,transactional,Overrides nurture,Three attempts at 2 hours 24 hours and 72 hours then counsellor call
CR012,2,payment_event,payment_completed_at is set,lead_state set to converted,onboarding,R38,Your access details,suppressed,Overrides all,Fires onboarding and cross sell eligibility timer at 60 percent completion
CR020,3,explicit_request,Lead asked for a payment link,payment_link_requested set to true and intent_temperature set to transactional,transactional_direct,R14,Confirming the variant then sending the link,transactional,Overrides nurture and education,Never send the link before variant and price are confirmed
CR021,3,explicit_request,Lead asked for fees or price,blocking_objection may be price and intent_score plus 16,fee_answer,R12,Which variant are we deciding between,transactional,Overrides discovery content,Answer with a number and the variant it belongs to. Never deflect to a call first
CR022,3,explicit_request,Lead asked for the next batch date,intent_score plus 14,batch_answer,R11,Which start date works,transactional,Overrides discovery content,Only quote batches with a future start date
CR023,3,explicit_request,Lead asked for a demo or sample class,demo_requested set to true,demo_offer,R09,Sending the class link,professional_fasttrack,Overrides nurture,Counsellor task after watch percentage is known
CR024,3,explicit_request,Lead asked for a callback,preferred_channel set to call,callback_confirm,none,Confirming a window that works for you,transactional,Overrides message cadence,Ask for the window. Never promise a counsellor will call soon with no time
CR025,3,explicit_request,Lead asked for EMI or instalments,emi_required set to true,emi_answer,R13,How the instalments work,transactional,Overrides nurture,Counsellor handoff at P1
CR026,3,explicit_request,Lead asked for counselling or career guidance,counselling_requested set to true,counselling_offer,R22,Pick a slot,unchanged,Overrides nurture,Booking link plus one reminder
CR027,3,explicit_request,Lead asked for the syllabus or coverage,none,curriculum_answer,R24,Full coverage and hours,unchanged,Overrides generic content,Send the coverage not the brochure
CR028,3,explicit_request,Lead asked to stop or wrote stop or unsubscribe or remove,opt_out_flag set to true,optout_confirm,none,none,suppressed,Overrides all,Confirm once then suppress permanently
CR029,3,explicit_request,Lead asked a question the automation cannot classify with confidence above 0.7,field_conflict_flags appended with response_ambiguous,human_handoff,none,none,unchanged,Overrides automated reply,Never guess an answer to a question you did not understand
CR030,4,promised_resource,promised_resource_id is set AND promised_resource_delivered is false,journey blocked until delivery,resource_delivery,promised_resource_id,Sending what you signed up for,unchanged,Blocks every qualification question,The most common trust failure in EdTech is asking a question before honouring the promise
CR031,4,promised_resource,source_detail is resource_download AND the resource was delivered,none,post_resource_diagnostic,none,One question so I send the right next thing,unknown_course_discovery,Runs immediately after CR030,Diagnostic must reference the resource the lead actually opened
CR032,4,promised_resource,source_detail is webinar_registration AND event has not yet occurred,none,event_reminder,R15,Joining link and time,unchanged,Blocks sales content until the event,Do not sell before delivering the event
CR033,4,promised_resource,source_detail is webinar_attendee,none,event_continuation,R05,Continue from what was covered,unchanged,Blocks generic openings,First message must reference event_topic. Never ask whether they are interested in finance
CR034,4,promised_resource,source_detail is webinar_noshow,none,noshow_recovery,R05,Recording plus the one thing most people ask after,unchanged,Blocks sales content for one message,Send the recording before anything else
CR040,5,eligibility,eligibility_status is ineligible for course_interest_primary,priority_band set to R0,eligibility_redirect,R04,Here is the route that is open to you now,redirect_ineligible,Overrides transactional intent,Never issue a payment link. State the reason plainly and name the nearest eligible product
CR041,5,eligibility,eligibility_status is not_yet_eligible AND a date can be calculated,next_action_at set to the eligibility date minus 60 days,eligibility_wait,R04,I will come back to you when the window opens,school_discovery,Overrides weekly cadence,Dated re entry rather than repeated follow up
CR042,5,eligibility,stage_suitability is premature,course_interest_secondary set to the recommended entry product,stage_redirect,R03,The step before this one is what actually fits now,school_discovery,Overrides course fit,Explain the sequence rather than refusing
CR043,5,eligibility,eligibility_status is unknown AND intent_temperature is high or transactional,field_conflict_flags appended with eligibility_unverified,eligibility_check,none,One quick check before we go further,unchanged,Blocks payment link only,Verification task for the counsellor
CR050,6,transactional_intent,intent_score at 81 or above AND fit_score at 35 or above,lead_state set to sales_qualified and priority_band P0,fasttrack,R11,Confirming your batch and variant,professional_fasttrack,Suppresses all educational nurture,Counsellor call within 30 minutes inside calling hours
CR051,6,transactional_intent,purchase_timeline is immediate or within_7_days AND course_specificity is specific or transactional,priority_band P1 or higher,fasttrack,R09,Class link plus the next start date,professional_fasttrack,Suppresses discovery content,Two assets maximum. Sample class and schedule
CR052,6,transactional_intent,life_stage is working professional AND course_specificity is specific AND purchase_timeline within 30 days,assigned_journey set to professional_fasttrack,professional_open,R09,Which of these two variants fits your week,professional_fasttrack,Overrides life stage nurture,This is the exact case the brief calls out. No beginner sequence
CR053,6,transactional_intent,competitor_named is not none,blocking_objection set to competitor,comparison,R37 counsellor only,Fifteen minutes with a counsellor who will give you the honest comparison,unchanged,Escalates to human,Never send a written competitor comparison to the lead
CR060,7,human_escalation,intent_score at 61 or above AND no reply for 72 hours,counsellor task created at P1,silent_high_intent,none,Direct question about the actual blocker,no_response_recovery,Overrides automated follow up,A previously hot lead going silent is a transactional blocker not a content gap
CR061,7,human_escalation,is_parent_enquiry is true AND parent asked to speak to someone,counsellor task at P1 in the evening window,parent_call,R21,A slot when both of you are free,parent_guidance,Overrides automation,Parents convert on conversation not on content
CR062,7,human_escalation,negative_response_flag is true,counsellor review before any further send,negative_review,none,none,unchanged,Pauses automation,Human decides whether to close or recover
CR063,7,human_escalation,payment_failure_count at 2 or above,counsellor task at P0,payment_rescue,none,Call within 30 minutes,transactional,Overrides automation,Two failures means a real payment problem not a reminder problem
CR064,7,human_escalation,order_value_inr above 40000 at any stage OR course is analyst_stack or a combo,counsellor task at P1,high_value,R33,Short call on scope and outcomes,unchanged,Adds human touch,High ATS products need a conversation
CR065,7,human_escalation,Same product question asked three or more times,counsellor task at P1,repeat_question,none,Answering this properly on a call,unchanged,Stops automated repetition,Repetition means the automated answer did not land
CR066,7,human_escalation,eligibility_status is needs_review OR field_conflict_flags is not empty,verification task created,verification,none,none,unchanged,Pauses risky personalisation,Never reference a field that is under conflict
CR070,8,course_fit,course_interest_primary is cfa_l1 AND life_stage is working professional,primary_need set to schedule_feasibility,course_value_cfa,R29,Which weekly hour range is realistic,professional_fasttrack,none,Route to accelerate or fast track variants
CR071,8,course_fit,course_interest_primary is cfa_l1 AND current_qualification is ca_qualified or mcom or mba,course_variant set to the CA and MBA fast paced batch,course_value_cfa_prior,R24,The batch built for people who already know finance,professional_fasttrack,none,Real SKU on the SSEI course page. Use it rather than the generic product
CR072,8,course_fit,course_interest_primary is cfa_l1 AND current_qualification is btech or bsc_stats or ba_eco,course_variant set to the special batch for non finance graduates,course_value_cfa_nonfin,R24,The batch for people entering finance for the first time,professional_fasttrack,none,Real SKU. Removes the strongest objection before it is raised
CR073,8,course_fit,course_interest_primary is frm_p1 AND current_role contains risk or credit or treasury or audit,primary_need set to domain_depth,course_value_frm_role,R09,Where FRM sits against what you already do,professional_fasttrack,none,Role relevance beats generic FRM benefits
CR074,8,course_fit,course_interest_primary is acca_full AND life_stage is class12_completed or college_ug_y1,decision_maker likely parent,course_value_acca_entry,R20,Parent guide with fees timelines and outcomes,parent_guidance,none,ACCA at this stage is a family decision
CR075,8,course_fit,course_interest_primary is analyst_stack AND life_stage is college_ug_final or recent_graduate or job_seeker,primary_need set to placement_differentiation,course_value_stack,R07,Skills check then your gap report,college_employability,none,Do not lead with certification language for a skills product
CR076,8,course_fit,course_interest_primary is financial_modelling AND life_stage is job_seeker or career_switcher,primary_need set to skill_gap,course_value_finmodel,R06,Which role are you targeting,college_employability,none,Role first then course
CR077,8,course_fit,course_interest_primary is ca_final_afm AND previous_attempt_history is one_fail or two_plus_fails,assigned_journey set to exam_retaker,retaker_open,R26,Topic level recovery plan for the next attempt,exam_retaker,Overrides generic course messaging,Never open with the failure
CR078,8,course_fit,course_interest_primary is cfa_l2 AND existing_courses_owned contains cfa_l1 from SSEI,assigned_journey set to cross_sell,progression,R34,Plan for Level 2 before the window closes,cross_sell,Overrides acquisition nurture,SSEI L1 to L2 retention is the strongest documented pattern in the business
CR079,8,course_fit,course_interest_primary is equity_research,course_interest_primary flagged for mapping review,course_value_stack,R06,What kind of research work do you want to do,college_employability,none,Equity research is not a standalone SKU on the current course list. Mapping must be confirmed. See open questions
CR080,8,course_fit,course_interest_primary is unknown AND landing_page indicates a course,course_interest_primary inferred with confidence inferred_low,course_infer_confirm,none,You were looking at X. Is that what you want to plan for,unchanged,none,Confirm the inference. Never assert it
CR081,8,course_fit,alternative_courses_considered has two or more entries,primary_need set to qualification_choice,comparison_open,R03,Side by side on the two you are actually choosing between,unknown_course_discovery,none,Compare only what the lead named
CR090,9,life_stage_need,life_stage is school_9_10,priority_band P4,school_early,R02,One page on how the finance path is built,school_discovery,none,Nurture only. Quarterly cadence. Never a sales queue
CR091,9,life_stage_need,life_stage is school_11 or school_12,primary_need set to career_clarity and decision_maker parent involved,school_open,R01,Two minute assessment,school_discovery,none,Parent asset enters the journey at step 3 not step 1
CR092,9,life_stage_need,life_stage is class12_completed,primary_need set to qualification_choice,post12_open,R03,Comparison of the three routes open to you now,school_discovery,none,Highest urgency inside the school group. Decision is live
CR093,9,life_stage_need,life_stage is college_ug_y1,primary_need set to career_clarity,college_early,R02,Roadmap for someone starting first year,school_discovery,none,Long runway. Value the sequencing advice
CR094,9,life_stage_need,life_stage is college_ug_y2,primary_need set to placement_differentiation,college_mid,R06,Which of these roles sounds closest,college_employability,none,Employability framing starts here
CR095,9,life_stage_need,life_stage is college_ug_final,primary_need set to placement_differentiation,college_final,R07,Skills check then your gap report,college_employability,none,Placement anxiety is the live emotion. Use it honestly
CR096,9,life_stage_need,life_stage is recent_graduate or job_seeker,primary_need set to skill_gap,fresher_open,R19,Checklist recruiters actually screen on,college_employability,none,Time sensitivity is real for this group
CR097,9,life_stage_need,life_stage is working_prof_0_2,primary_need set to career_value,prof_early,R36,Where this actually takes people,professional_fasttrack,none,Progression framing
CR098,9,life_stage_need,life_stage is working_prof_3_5 or working_prof_5_plus,primary_need set to schedule_feasibility,prof_senior,R25,Plan built on your actual weekly hours,professional_fasttrack,none,Time is the objection not money
CR099,9,life_stage_need,life_stage is career_switcher,primary_need set to career_value,switcher_open,R17,Someone who made this exact switch,professional_fasttrack,none,Proof must match the switch not the course
CR100,9,life_stage_need,life_stage is parent_enquirer,tone set to parent and topics_to_avoid set to peer proof and slang,parent_open,R20,Parent guide with fees timelines and outcomes,parent_guidance,none,Answer the outcome question first. Fees second. Never lead with urgency
CR101,9,life_stage_need,life_stage is exam_failed_deferred,assigned_journey set to exam_retaker and tone set to diagnostic,retaker_open,R27,Twenty questions that show where the gaps are,exam_retaker,none,Diagnosis before offer. Never sympathy language
CR102,9,life_stage_need,life_stage is comparing_qualifications,primary_need set to qualification_choice,comparison_open,R03,The two you are actually choosing between,unknown_course_discovery,none,Never push the highest value course. Push the correct one
CR103,9,life_stage_need,life_stage is decided_course_attempt,primary_need set to logistics,decided_open,R11,Which start date works,professional_fasttrack,none,No education. Logistics and proof only
CR104,9,life_stage_need,life_stage is unknown AND source indicates a student context,life_stage inferred to a student band with confidence inferred_low,lifestage_probe,none,Two options so I send the right thing,unknown_course_discovery,none,Ask with tappable options. Never a form
CR106,9,life_stage_need,life_stage is pg_student,primary_need set to career_value,pg_open,R24,What does your programme not cover,professional_fasttrack,none,Marginal value over the degree is the only question that matters here
CR107,9,life_stage_need,life_stage is finance_specialist,primary_need set to domain_depth,specialist_open,R24,Which topics are you checking coverage on,professional_fasttrack,none,Technical peer tone. Never explain basics to this cohort
CR108,9,life_stage_need,life_stage is existing_candidate_frm AND course is frm_p2,assigned_journey set to cross_sell,frm_progression,R34,Plan for Part 2 before the sitting closes,cross_sell,Overrides acquisition nurture,Part 1 to Part 2 progression mirrors the CFA level pattern
CR105,9,life_stage_need,existing_student_status is active_student,assigned_journey set to cross_sell,crosssell_open,R33,What the certification does not cover,cross_sell,Overrides acquisition journeys,Owner is student success not a new lead counsellor
CR110,10,source_context,source_detail is college_seminar,opening references event_topic and college_name,seminar_open,R05,Continue from the session,college_employability,none,Reference the session topic not the venue
CR111,10,source_context,source_detail is inbound_call,first_response_sla_minutes set to 15,inbound_ack,none,Answer to the exact question asked on the call,transactional,Raises priority,An inbound caller outranks any organic engager
CR112,10,source_context,source_detail is walk_in,first_response_sla_minutes set to 30,walkin_ack,R30,Next step from the visit,professional_fasttrack,Raises priority,Highest intent offline signal
CR113,10,source_context,source_detail in meta_leadgen_ad,first_response_sla_minutes set to 5 and education depth set to high,paid_social_open,campaign_promise_ref,The specific thing the ad offered,unchanged,none,Speed matters most where intent is weakest
CR114,10,source_context,source_detail is google_search_ad,opening references the searched term intent,search_ad_open,R24,Direct answer to what they searched for,professional_fasttrack,none,Search leads convert at 10 to 12 percent. Treat as high context
CR115,10,source_context,source_detail is organic_youtube AND event_topic is a faculty video,opening references the video topic,faculty_video_open,R09,Full session on that topic,unchanged,none,Never send the faculty orientation video to someone who arrived from a faculty video
CR116,10,source_context,source_detail is student_referral or alumni_referral,opening names the referrer with permission,referral_open,R16,Same starting point as the person who sent you,unchanged,Raises priority,Confirm the referrer consented to being named
CR117,10,source_context,source_detail is resource_forwarded_by_friend,life_stage unknown and no promise exists,forwarded_open,none,Two options so I send the right version,unknown_course_discovery,none,This lead never opted into anything. Consent first
