playbook_id,name,stage,trigger_in_plain_words,when_it_runs,owner,channel,the_one_thing_we_want,what_we_offer,price_band,success_measure,blocked_by
SP-01,Welcome and get them in,S1,Payment confirms.,"Within 2 hours, then day 2 and day 5 if they have not logged in.",Automated,WhatsApp then email,First login.,Nothing. Do not sell anything in the first week.,None,Percentage logged in by day 7,Nothing. Can start now.
SP-02,First subject done,S2,Logged in but has not finished a subject.,Weekly for the first four weeks.,Automated,WhatsApp,One completed subject.,Nothing.,None,Percentage completing a subject in 30 days,Watch-time feed from the LMS
SP-03,Keep the pace,S3,On the syllabus but behind the pace their exam needs.,Fortnightly.,"Automated, counsellor if momentum is low twice running",WhatsApp,Bring them back to pace.,Doubt session or a revision class.,"Free to 6,000",Percentage still on pace 30 days later,Attempt on file plus watch time
SP-04,Bring back the drifter,S3,No activity for 21 days.,"Once, then a call if no reply in 5 days.",Counsellor,WhatsApp then phone,A reply and a reason.,Extension if the reason is time. Deferral to a later attempt if the reason is life.,"1,000 per month",Percentage active again in 14 days,Watch-time feed
SP-05,Exam run-up,S4,60 days to their exam.,"At T-60, T-30, T-14, T-3.",Automated,WhatsApp,Attempt the mocks.,Mock test series.,"4,000 to 5,700",Percentage attempting at least one mock,Attempt on file
SP-06,Did you sit it,S5,Their exam date passes.,Within 3 days of the exam.,Automated,"WhatsApp, one question",A yes or a no.,Nothing.,None,Percentage answering,Attempt on file
SP-07,Result day,S5 to S6 or S7,The awarding body publishes results.,On result day and the two days after.,"Automated first, counsellor on every reply","WhatsApp, one question",Find out if they passed.,Nothing on day one.,None,Percentage of the cohort whose result we now know,Result dates in the exam calendar
SP-08,"Passed, sell the next level",S6,They tell us they passed and the ladder has a next step.,"Same day, then day 3, day 7, day 14, day 21.",Counsellor,"Phone first, WhatsApp to support",Enrolment in the next level.,"CFA L2 or L3, FRM Part 2, CA Final.","26,000 to 37,000",Percentage buying the next level in 21 days,Result capture
SP-09,"Passed, ladder finished",S6,They passed the last level we teach.,"Same day, then day 7 and day 30.",Counsellor,Phone,A second product or a referral.,"Analyst Stack, Stock Market, Excel and Python.","10,000 to 50,000",Second-product rate and referrals per student,Result capture
SP-10,Next attempt,S7,They tell us they did not pass.,"Day 2, day 10, day 25, day 45.",Counsellor,Phone first,Commit to the next attempt.,"Extension for the next window, or a re-enrol at the loyalty price.","1,000 per month, or 10 percent off a fresh enrolment",Percentage committing to the next attempt,Result capture
SP-11,Validity running out,Any,30 days to validity expiry.,"At T-30, T-14, T-3, and once at T+7.","Automated, counsellor at T-3",WhatsApp,"Extend, or move to a later attempt.",Validity extension.,"1,000 per month",Extension rate and revenue,Validity expiry date on the record
SP-12,Win back,S9,Inactive and no attempt on file.,"One sequence of three messages, then stop for six months.",Automated,WhatsApp then email,Tell us where you are with the qualification.,Whatever fits their answer.,Varies,"Reply rate, then enrolment rate",Nothing. Can start now.
