rule_id,rule_name,severity,category,plain_description,dimensions_affected,fields_affected,condition,action,user_facing_explanation,owner,active
GR-001,No consent captured,Blocking,Consent,We have no permission to message this person.,Source context,"consent_marketing, whatsapp_optin_status",consent_marketing is false AND whatsapp_optin_status is not opted_in,Block all messaging. Allow one opt in request only.,We cannot message this lead yet because no consent was captured at the form. Send the opt in request or check the form setup.,Growth Ops,yes
GR-002,Person asked us to stop,Blocking,Consent,They opted out.,All,opt_out_flag,opt_out_flag is true,Suppress permanently across every channel.,This person asked us to stop. No message of any kind may be sent unless they re consent in writing.,Growth Ops,yes
GR-003,Number does not work,Blocking,Data quality,Three sends have failed.,Source context,"invalid_number_flag, last_message_status",Three consecutive delivery failures across two days,Mark invalid. Stop WhatsApp. Try email once if consent exists.,The number is unreachable. Sending more messages will not fix it. This goes to the data quality queue.,Growth Ops,yes
GR-004,Already a paying student,Blocking,Relationship,This person already bought from us.,Relationship,existing_student_status,existing_student_status is active_student AND an acquisition playbook was selected,Switch to the cross sell playbook. Change owner to Student Success.,This is an existing student. Acquisition messaging would be wrong and damaging. Student Success owns them.,Growth Ops,yes
GR-005,Same person twice,Blocking,Data quality,Two records exist for one person.,Relationship,"duplicate_status, mobile_last10",Phone number already exists on another lead record,Merge. Keep the higher scores. Suppress the second first message.,Two records exist for this person. They will get two first messages unless the records are merged.,Growth Ops,yes
GR-006,Not eligible for the course requested,Blocking,Eligibility,The awarding body does not allow them to sit this exam yet.,"Eligibility and stage fit, Course interest","eligibility_status, course_interest_primary",eligibility_status is ineligible,Force the redirect playbook. Block any payment link.,They cannot register for this course. Name the reason and the course that is open to them now. Selling around the rule creates a refund.,Growth Ops,yes
GR-007,Course level out of sequence,Blocking,Eligibility,They asked for level two without clearing level one.,"Eligibility and stage fit, Course interest","course_interest_primary, previous_attempt_history",Requested course requires a prior level that is not recorded as passed,Offer the correct level. Block the payment link for the requested level.,This course needs the earlier level first. Offer that level and explain the sequence.,Academic,yes
GR-008,Payment link before the price is agreed,Blocking,Commercial,About to send a link without a confirmed variant and price.,Course interest,"course_variant, order_value_inr",payment_link_requested is true AND variant or price is not confirmed,Block the link. Send the confirmation message first.,"Confirm exactly which variant and what price before the link goes out, otherwise the wrong product gets bought.",Sales,yes
GR-009,The person who pays has not been spoken to,Conflict,Commercial,A parent or employer signs off and has never been contacted.,Capacity,decision_maker,decision_maker is parent or employer AND that person has never been contacted,Add the decision maker asset. Create a call task in the correct window.,The person who signs off has not been spoken to. The sale cannot close through the student alone.,Sales,yes
GR-010,Course does not suit the life stage,Conflict,Suitability,Technically allowed but wrong for where they are.,"Life stage, Course interest","life_stage, course_interest_primary, stage_suitability",stage_suitability is premature or overqualified,Recommend the correct entry or next product and explain the sequence.,"This is not the right step for them right now. Recommending it anyway produces a dropout, not a student.",Academic,yes
