factor_id,category,score_type,condition,fit_points,intent_points,cap_rule,decay_rule,recalculation_event,notes
F01,life_stage_fit,fit,life_stage in working_prof_0_2 or working_prof_3_5 or recent_graduate AND course_interest_primary in cfa_l1 or frm_p1 or analyst_stack or financial_modelling,25,0,Component F max 25,No decay,On life_stage or course change,Textbook fit between stage and product
F02,life_stage_fit,fit,life_stage in college_ug_final or pg_student AND course_interest_primary in cfa_l1 or analyst_stack or financial_modelling or acca_full,22,0,Component F max 25,No decay,On life_stage or course change,Strong fit. Timeline overlaps final year
F03,life_stage_fit,fit,life_stage in college_ug_y2 AND course_interest_primary in cfa_l1 or acca_full or financial_modelling,18,0,Component F max 25,No decay,On life_stage or course change,Fit but longer decision cycle
F04,life_stage_fit,fit,life_stage in class12_completed or college_ug_y1 AND course_interest_primary in acca_knowledge or acca_full or ca_foundation or prudentia,20,0,Component F max 25,No decay,On life_stage or course change,These are the genuinely age appropriate entry products
F05,life_stage_fit,fit,life_stage in school_11 or school_12 AND course_interest_primary in ca_foundation or acca_knowledge or general_finance_career,14,0,Component F max 25,No decay,On life_stage or course change,Fit exists but purchase is parent gated
F06,life_stage_fit,fit,life_stage in school_9_10,4,0,Component F max 25,No decay,On life_stage change,Long horizon. Nurture only. Never a sales queue
F07,life_stage_fit,fit,life_stage in working_prof_5_plus or finance_specialist AND course_interest_primary in frm_p1 or frm_p2 or cfa_l2 or cfa_l3 or analyst_stack,24,0,Component F max 25,No decay,On life_stage or course change,Specialisation buyers
F08,life_stage_fit,fit,life_stage is parent_enquirer,12,0,Component F max 25,No decay,On life_stage change,Fit is carried by the student record not the parent record
F09,life_stage_fit,fit,life_stage is unknown,8,0,Component F max 25,No decay,On life_stage discovery,Neutral placeholder. Never treat unknown as poor fit
F10,life_stage_fit,fit,life_stage in existing_candidate_cfa or existing_candidate_frm or existing_candidate_acca or existing_candidate_ca AND course is the next level of the same track,25,0,Component F max 25,No decay,On course change,Highest structural fit in the entire model
F11,eligibility,fit,eligibility_status is eligible,20,0,Component F max 20,No decay,On eligibility recheck,Awarding body entry criteria met
F12,eligibility,fit,eligibility_status is eligible_with_condition,14,0,Component F max 20,No decay,On eligibility recheck,Conditional such as final year enrolment windows
F13,eligibility,fit,eligibility_status is not_yet_eligible,4,0,Component F max 20,No decay,On eligibility recheck,Keep in nurture with a dated re entry
F14,eligibility,fit,eligibility_status is ineligible,0,0,Hard cap. fit_score capped at 25 and priority_band forced to R0,No decay,On eligibility recheck,Redirect journey. Never a payment link
F15,eligibility,fit,eligibility_status is unknown,10,0,Component F max 20,No decay,On eligibility recheck,Neutral until verified
F16,stage_suitability,fit,stage_suitability is suitable,15,0,Component F max 15,No decay,On course or life_stage change,Requested course matches current stage
F17,stage_suitability,fit,stage_suitability is premature,5,0,Component F max 15,No decay,On course or life_stage change,Recommend the correct entry product first
F18,stage_suitability,fit,stage_suitability is overqualified,8,0,Component F max 15,No decay,On course or life_stage change,Route to the higher level or the skills stack
F19,stage_suitability,fit,stage_suitability is needs_review,7,0,Component F max 15,No decay,On counsellor review,Creates a verification task
F20,time_availability,fit,weekly_study_hours at 15 or above,10,0,Component F max 10,No decay,On declared hours,Supports the full immersion variants
F21,time_availability,fit,weekly_study_hours between 8 and 14,7,0,Component F max 10,No decay,On declared hours,Route to accelerate or fast track variants
F22,time_availability,fit,weekly_study_hours below 8,3,0,Component F max 10,No decay,On declared hours,Feasibility conversation required before sale
F23,time_availability,fit,weekly_study_hours unknown,5,0,Component F max 10,No decay,On declared hours,Neutral placeholder
F24,budget_readiness,fit,budget_range matches or exceeds the quoted variant price,10,0,Component F max 10,No decay,On budget or variant change,Structural affordability not eagerness
F25,budget_readiness,fit,budget_range below variant price AND emi_required is true,7,0,Component F max 10,No decay,On budget or variant change,Financing makes this workable
F26,budget_readiness,fit,budget_range is price_sensitive AND no financing accepted,3,0,Component F max 10,No decay,On budget change,Consider a lower priced variant not a discount
F27,budget_readiness,fit,budget_range is not_disclosed,5,0,Component F max 10,No decay,On budget change,Neutral placeholder
F28,decision_maker,fit,decision_maker is self,10,0,Component F max 10,No decay,On decision maker capture,Single signatory
F29,decision_maker,fit,decision_maker is self_with_parent_input,7,0,Component F max 10,No decay,On decision maker capture,Add the parent asset to the journey
F30,decision_maker,fit,decision_maker is parent AND parent contact is available,6,0,Component F max 10,No decay,On decision maker capture,Parent must be reachable for this to hold
F31,decision_maker,fit,decision_maker is parent AND parent contact is not available,2,0,Component F max 10,No decay,On decision maker capture,Sale cannot close through the student alone
F32,decision_maker,fit,decision_maker is employer,5,0,Component F max 10,No decay,On decision maker capture,Longer cycle. Needs an invoice and approval path
F33,relationship,fit,existing_student_status is active_student,10,0,Component F max 10,No decay,On master sync,Known payer with a live relationship
F34,relationship,fit,existing_student_status is past_student,8,0,Component F max 10,No decay,On master sync,Prior purchase proven
F35,relationship,fit,previous_ssei_interaction is prior_lead_lost with reason price,3,0,Component F max 10,No decay,On history load,Known constraint carried forward
F36,relationship,fit,existing_student_status is never_purchased,4,0,Component F max 10,No decay,On master sync,Neutral baseline
F37,relationship,fit,previous_ssei_interaction is scholarship_exam_only,6,0,Component F max 10,No decay,On history load,Verified real person with demonstrated effort
I01,source_intent,intent,source_detail in inbound_call or whatsapp_inbound or walk_in,0,20,Component I max 20,No decay on the baseline,On lead create,The lead initiated contact with a question
I02,source_intent,intent,source_detail in google_search_ad or organic_search or website_course_page,0,16,Component I max 20,No decay on the baseline,On lead create,Active search behaviour
I03,source_intent,intent,source_detail in demo_class_registration or free_class_registration or webinar_attendee,0,14,Component I max 20,No decay on the baseline,On lead create,Committed time already
I04,source_intent,intent,source_detail in student_referral or alumni_referral or faculty_referral or counsellor_referral,0,13,Component I max 20,No decay on the baseline,On lead create,Trust arrives pre built
I05,source_intent,intent,source_detail in retargeting or website_form or website_chat,0,11,Component I max 20,No decay on the baseline,On lead create,Repeat exposure
I06,source_intent,intent,source_detail in webinar_registration or youtube_live or resource_download,0,8,Component I max 20,No decay on the baseline,On lead create,Interest without commitment
I07,source_intent,intent,source_detail in college_seminar or college_activation or education_fair or campus_ambassador,0,6,Component I max 20,No decay on the baseline,On lead create,Attendance was often incidental to the venue
I08,source_intent,intent,source_detail in meta_leadgen_ad or meta_conversion_ad or organic_instagram or youtube_ad or linkedin_ad or organic_x,0,4,Component I max 20,No decay on the baseline,On lead create,Interruption sourced. Matches the observed 2 to 3 percent Meta conversion rate
I09,source_intent,intent,source_detail in webinar_noshow or resource_forwarded_by_friend or unknown,0,2,Component I max 20,No decay on the baseline,On lead create,Weakest starting signal
