resource_id,resource_name,format,funnel_stage,audience_life_stages,courses,source_contexts,intent_levels,trigger_conditions,contraindications,cta,refresh_frequency,tracking_event,next_if_consumed,next_if_ignored,owner,build_status
R01,Which Finance Career Suits You,interactive quiz 8 questions,discovery,school_11|school_12|class12_completed|college_ug_y1|college_ug_y2|college_ug_final|recent_graduate|career_switcher,general_finance_career|unknown,college_seminar|college_activation|organic_instagram|organic_youtube|resource_download|education_fair,exploratory|low|medium,course_specificity in category or directional or unknown AND life_stage is student or fresher,Do not send when course_specificity is transactional or specific with a named attempt,Take the 2 minute assessment,Quarterly review of role data,quiz_started and quiz_completed,Send R02 mapped to the top result then ask one confirming question,Resend once as a single question in text form then switch to R05,Content plus Growth Ops,to_build
R02,Finance Career Roadmap Guide,pdf 10 pages,discovery,school_12|class12_completed|college_ug_y1|college_ug_y2|college_ug_final|recent_graduate|job_seeker|career_switcher,general_finance_career|unknown,organic_search|website_blog|resource_download|meta_leadgen_ad|college_seminar,exploratory|low,Lead asked a broad career question or downloaded a general guide,Do not send to working professionals with a named course and attempt,Want me to send it here,Half yearly,resource_opened and resource_scroll_75,Ask the one diagnostic question tied to the roadmap stage,Follow with R01 as a lighter alternative,Content,to_build
R03,CFA vs CA vs ACCA vs FRM Comparison,pdf 6 pages plus comparison table,discovery,school_12|class12_completed|college_ug_y1|college_ug_y2|college_ug_final|recent_graduate|comparing_qualifications|parent_enquirer,general_finance_career|unknown|cfa_l1|acca_knowledge|ca_foundation|frm_p1,organic_instagram|organic_youtube|organic_search|webinar_attendee|college_seminar|website_blog,low|medium,awareness_level in career_aware or qualification_aware AND alternative_courses_considered has two or more entries,Do not send when the lead has already paid for one of the compared qualifications elsewhere without a counsellor on the thread,Should I send the side by side comparison,Quarterly and after any exam body policy change,resource_opened,Ask which of the two shortlisted paths fits their timeline then route to the matching course journey,Send the single strongest differentiator as text then offer counselling,Content plus Academic,to_build
R04,Eligibility and Entry Requirement Checklist,pdf 2 pages per qualification,discovery,school_11|school_12|class12_completed|college_ug_y1|college_ug_y2|college_ug_final|parent_enquirer|career_switcher,cfa_l1|frm_p1|acca_knowledge|ca_foundation|acca_full,organic_instagram|organic_search|website_course_page|college_seminar|inbound_call,low|medium|high,eligibility_status in not_yet_eligible or unknown AND course_interest_primary is known,Never use as a rejection message. Always pair with the nearest eligible alternative,Want the eligibility checklist for your year,On every exam body policy update,resource_opened,Confirm eligibility date and schedule the pre-eligibility plan,Counsellor call to verify year of study,Academic,to_build
R05,Careers in Finance Beyond Your Degree Session Recording,video 45 minutes,discovery,college_ug_y2|college_ug_final|recent_graduate|job_seeker,general_finance_career|unknown,college_seminar|college_activation|campus_ambassador|education_fair|webinar_noshow,exploratory|low|medium,Lead came from a campus event or missed a webinar on this theme,Do not send to a lead who attended the same session in full,Want the recording of the session,Refresh recording each academic year,video_started and video_50pct and video_completed,Send R06 job role map and ask which role appeals,Send a 60 second clip of the single best segment,Content,exists_assumed
R06,Finance Job Role Map,pdf plus one page visual,discovery,college_ug_y2|college_ug_final|recent_graduate|job_seeker|career_switcher|pg_student,general_finance_career|analyst_stack|financial_modelling|equity_research|cfa_l1,college_seminar|organic_linkedin|organic_instagram|webinar_attendee|resource_download,low|medium,primary_need is placement_differentiation or career_clarity,Do not send to school students who need qualification level clarity first,Which of these roles sounds closest to what you want,Half yearly with hiring data refresh,resource_opened,Send R07 skills gap assessment for the chosen role,Ask one short question naming three roles as tappable options,Content plus Placements,to_build
R07,Analyst Skills Gap Assessment,interactive assessment 12 questions,consideration,college_ug_y2|college_ug_final|recent_graduate|job_seeker|working_prof_0_2|career_switcher,analyst_stack|financial_modelling|equity_research|cfa_l1,college_seminar|organic_linkedin|webinar_attendee|website_course_page,medium|high,Lead has named a target role or expressed a placement concern,Do not send before a role is named. The output is meaningless without a target role,Take the skills check and I will send your gap report,Quarterly,assessment_started and assessment_completed,Send the personalised gap report then offer R09 sample class for the weakest area,Send the three most common gaps as a short message,Academic plus Growth Ops,to_build
R08,Exam Roadmap and Attempt Planner,pdf plus calendar,consideration,college_ug_final|recent_graduate|working_prof_0_2|working_prof_3_5|working_prof_5_plus|decided_course_attempt|exam_failed_deferred,cfa_l1|cfa_l2|cfa_l3|frm_p1|frm_p2|acca_full|ca_final_afm,website_course_page|google_search_ad|organic_search|inbound_call|webinar_attendee,medium|high|transactional,course_interest_primary is known AND exam_attempt_target is unknown or under review,Do not send when the attempt is already booked and the lead asked only about price,Want me to map this to the attempt that actually fits you,On every exam body calendar release,resource_opened,Confirm target attempt and send R11 batch schedule for that window,Counsellor call to fix the attempt,Academic,to_build
R09,Sample Class by Sanjay Saraf,video 25 to 40 minutes,consideration,all except school_9_10,cfa_l1|cfa_l2|cfa_l3|frm_p1|frm_p2|ca_final_afm|ca_inter_fm|financial_modelling|analyst_stack|acca_full,any,medium|high|transactional,awareness_level at course_aware or higher OR lead asked about teaching style or faculty,Do not send more than one sample class before a counsellor conversation,Watch the first session and tell me if the depth works for you,Refresh per syllabus change,video_started and video_50pct and video_completed,Counsellor task within 24 hours with the watch percentage in the briefing,Send a 3 minute concept clip instead of the full class,Academic,exists_assumed
R10,Course Brochure,pdf,consideration,recent_graduate|job_seeker|working_prof_0_2|working_prof_3_5|working_prof_5_plus|decided_course_attempt|comparing_qualifications|parent_enquirer,all named courses,website_course_page|google_search_ad|inbound_call|whatsapp_inbound|walk_in|retargeting,medium|high|transactional,Lead explicitly asked for details or is course_aware and evaluating,Never use as the opening asset for an unknown course lead. Never send with no accompanying line,Sending the brochure. One question so I point you to the right variant,On every price or curriculum change,resource_opened,Ask which variant fits their weekly hours then quote fee for that variant,Ask a single closed question about what they wanted to check,Marketing,exists
R11,Batch Calendar,web page plus image,consideration,working_prof_0_2|working_prof_3_5|working_prof_5_plus|decided_course_attempt|college_ug_final|recent_graduate|exam_failed_deferred,cfa_l1|cfa_l2|cfa_l3|frm_p1|frm_p2|acca_full|ca_final_afm|analyst_stack,any,high|transactional,Lead asked about start date or timing or has a target attempt,Do not send a calendar with any batch whose start date has passed,Which of these start dates works for you,Monthly on batch launch,link_clicked,Counsellor task to confirm seat and quote fee,Send only the next relevant start date as plain text,Operations,exists
R12,Fee Structure and Variant Comparison,pdf plus table,decision,working_prof_0_2|working_prof_3_5|working_prof_5_plus|decided_course_attempt|parent_enquirer|recent_graduate,all named courses,inbound_call|website_course_page|google_search_ad|whatsapp_inbound|walk_in,high|transactional,Lead asked about fees or is at sales_qualified,Do not send a bare number without the variant it belongs to,Here is the fee by variant. Which one are we deciding between,On every price change with version stamp,resource_opened,Counsellor task to close or issue payment link,Counsellor call within 4 working hours,Finance plus Sales,exists
R13,EMI and Payment Options Guide,pdf 2 pages,decision,working_prof_0_2|working_prof_3_5|recent_graduate|job_seeker|parent_enquirer|college_ug_final,all named courses,any,high|transactional,emi_required is true OR blocking_objection is price or emi,Do not present EMI as a discount. Do not quote interest rates that are not current,Want me to send how the instalments work,On every financing partner change,resource_opened,Counsellor task to complete the financing application,Counsellor call to identify the real constraint,Finance,exists_assumed
