response_class,detection_signal,crm_state_transition,fit_delta,intent_delta,automation_continues,next_message_id,resource_id,cta,timing,counsellor_action,counsellor_sla,max_followups,stop_condition
interested_general,Positive reply with no specific ask such as yes or tell me more,engaged,0,+5,yes,Journey next step,Per journey step,One diagnostic question,Within 5 minutes,None yet,Not applicable,3,Reply received or 3 attempts
wants_fees,Message contains fee price cost how much kitna,sales_qualified if course known else engaged,0,+16,yes with transactional override,M012,R12,Which variant are we deciding between,Within 15 minutes in calling hours,Task created if no reply in 4 hours,4 working hours,2,Fee answered and next question resolved
wants_batch_date,Message contains batch start date when does it begin next batch,sales_qualified,0,+14,yes with transactional override,M021,R11,Which start date works,Within 15 minutes,Task created if no reply in 8 hours,8 working hours,2,Batch confirmed or lead defers
wants_syllabus,Message contains syllabus topics coverage what is included,engaged,0,+6,yes,Curriculum reply,R24,Which topic are you most unsure about,Within 30 minutes,None,Not applicable,3,Question answered
wants_demo,Message contains demo sample class trial free class,demo_requested,0,+13,yes,M013,R09,Watch fifteen minutes and tell me,Within 15 minutes,Task after watch data arrives,24 hours after send,2,Demo attended or 2 attempts
wants_counselling,Message contains counselling guidance talk to someone advice,counselling_requested,0,+12,yes,Booking offer,R22,Pick a slot,Within 15 minutes,Task at booking or at 24 hours if unbooked,24 hours,2,Booking created
wants_payment_link,Message contains payment link pay enrol join karna hai,sales_qualified then payment_link_sent,0,+25,transactional only,M033,R14,Confirm variant then link,Within 5 minutes,Task immediately,30 minutes in calling hours,2,Payment completed or counsellor owns
wants_emi,Message contains EMI instalment part payment financing,sales_qualified,0,+15,transactional only,EMI reply,R13,How the instalments work,Within 15 minutes,Task created,4 working hours,2,Financing path agreed
wants_offline,Message contains offline classroom centre in person,engaged,0,+4,yes,M029 or M067 by accessibility,R30 or R31,Which do you want to compare,Within 30 minutes,Task if offline_accessible is true,8 working hours,3,Mode decided
wants_online,Message contains online recorded self paced,engaged,0,+4,yes,Journey next step,R31,Which format suits your week,Within 30 minutes,None,Not applicable,3,Mode decided
wants_career_guidance,Message asks what should I do or which course is right,marketing_qualified,0,+6,yes,M032,R01,Two options so I send the right thing,Within 30 minutes,Task if fit_score at 60 or above,24 hours,3,Direction established
