playbook_id,cohort_name,playbook_key,who_they_are,what_they_want,whats_stopping_them,how_to_spot_them,what_to_offer,what_to_say,what_not_to_say,next_action,priority,cadence,owner,first_message,key_resources,exit_rule,advanced_rules
PB-01,School and just finished school,school_discovery,"Students in class 11, class 12 or the year straight after, plus anyone in their first year of college. Often the parent is in the conversation too.","A clear answer to what to do after school, and confidence that they are not making a mistake that costs three years.","They cannot compare CA, CFA, ACCA and a plain degree. Their parents are paying and are not convinced. Board exams are consuming everything.","Age or class stated on the form, a school event as the source, or questions about what to do after 12th.","Career direction first, then the entry level product that actually fits: CA Foundation, ACCA Knowledge, or a comparison if they are still choosing.","Sequencing. Which qualification to start when, and what it costs across the whole route, not just the first year.",Do not talk about placements or salaries. Do not create deadline pressure. Do not lead with fees.,"Send the career assessment. When they answer, send the comparison for the two options they shortlisted. Bring the parent in at step 3, never step 1.",Automated only,One message every 5 to 7 days. Pause completely during board exams.,System until a parent joins the conversation,M001,"R01, R03, R04, R20, R21","Three unanswered messages, then park with a return date at the board results window.",Parent asset must not appear before step 3. Minor consent rules apply below 18.
PB-02,"College, worried about placements",college_employability,"Second year, final year, recent graduates and job seekers. The clock is running on placements.",To be employable. Something concrete they can show in an interview.,"They do not know which role they want, so no course seems obviously right. They cannot judge which credential recruiters actually value.","Final year or graduate status, a campus event source, or any question about jobs, placements or internships.","Skills first for a short horizon, qualification first for a long one. Analyst Stack or Financial Modelling for the former, CFA Level 1 for the latter.","Roles, not courses. What the job actually involves and what gets screened in an interview.",Do not name a course before they name a role. Do not promise placements. Do not send long theory content during placement season.,"Send the skills check. When it is completed, send the gap report and the practical class for their weakest area, then call.","Automated until the skills check is done, then Call this week",One message every 3 to 4 days. Suspend during placement weeks.,"System, then a counsellor once a role is named",M006,"R07, R06, R09, R17, R19, R22","Three unanswered messages, then park until placement season ends.",Course is never named before a role is named. Placement claims require a verified source.
PB-03,Working professional who knows what they want,professional_fasttrack,People in jobs who named a course and a rough timeline. Also career switchers and anyone who already decided.,"To know whether it is doable alongside their job, and then to get on with it.","Time, not money. They have been told a course is hard and want to judge the teaching for themselves.","A job title, a named course, a question about batches, fees or instalments.","The variant that matches their real weekly hours, then the batch, then the price.","Feasibility. How many hours it really takes, which variant fits, and whether their target attempt is honest.",No career guides. No quizzes. No roadmaps. Nothing that reads as a stall when they asked a direct question.,Ask the hours question with tappable ranges. Send the sample class. Confirm the attempt and batch. Answer the fee with a number.,Call today,"Every 2 days while active, then a dated return.",Counsellor from the first transactional question,M010,"R09, R29, R11, R12, R13, R14","Two call attempts in different windows, then a dated return.","Educational content is suppressed entirely. A fee question is answered with a number in the same message, never deferred to a call."
PB-04,Retaking an exam,exam_retaker,Anyone who failed or deferred an attempt and is deciding whether to try again.,"To understand what actually went wrong, so the next attempt is different.",Confidence. Money already spent. A real fear of repeating the outcome.,"A stated failure, a deferred attempt, or a record of a prior attempt.","A topic diagnostic first. Then either partial topics if the gaps are narrow, or the full programme if they are broad.","Diagnosis. Which topics cost the marks, and what changes in the plan because of that.",Never mention the failure in the opening. No sympathy language. Do not blame their previous provider unless they raise it first.,"Offer the twenty question diagnostic. If they name their weak topics instead, skip the diagnostic and send the sessions for those topics.",Call this week,"Every 3 days, anchored to the registration deadline.","System, then a counsellor after the diagnostic",M016,"R27, R26, R09, R28","Three unanswered messages, then park until 21 days before the next registration deadline.",Diagnosis always precedes any product offer. Deadlines quoted must be real published dates.
PB-05,We do not know what they want yet,unknown_course_discovery,Anyone whose course is unknown after enrichment. The largest group in most weeks.,Unclear. That is the point of the playbook.,"They do not know enough to ask a specific question, so a course pitch bounces off.","No course named, and nothing in the source that implies one.","Nothing yet. Establish life stage, then objective, then recommend two options with reasons.","One question at a time, with tappable options and a stated reason for asking.",Do not send a course list. Do not send a brochure. Do not ask more than one question.,Ask studying or working. Their answer selects the real playbook.,Automated only,Every 3 to 5 days.,System,M032,"R01, R02, R03, R22","Three unanswered messages, then park.","Maximum three profiling questions in total across the lifetime, then stop asking."
PB-06,Ready to buy,transactional,"Anyone who asked for a fee, a batch date, an instalment plan or a payment link, or who started a checkout.",To complete a purchase without friction.,"Usually a practical blocker: the price, the timing, or a payment that failed.","Any transactional question, a checkout event, or a payment failure.","The exact variant they are buying, at the confirmed price.",Confirmation and logistics only.,No education. No nurture. No new content of any kind.,"Confirm the variant and price in one message, then issue the link. Stay on the line through checkout for high value orders.",Call now,"Same day, up to three touches.",Counsellor,M033,"R12, R11, R14, R13","Payment completed, or a captured objection.","No payment link without a confirmed variant, price and eligibility. A failed payment is a service problem before it is a sales problem."
PB-07,Gone quiet,no_response_recovery,"Anyone who stopped responding, at any stage.",Unknown. That is what the playbook is trying to establish.,"Depends on the silence type. Wrong number, wrong time, wrong ask, or a real blocker they have not said out loud.",No inbound signal for the stage threshold.,"Nothing new. Change the ask, not the offer.","Either a shorter version of the same thing, or a direct question naming the three likely blockers.","Never write just following up, checking in, or gentle reminder.","Work down the silence ladder. If they were ever high intent, a person calls instead of sending a fourth message.","Automated, unless intent ever crossed 61, then Call this week",48 to 72 hours between rungs. Three rungs maximum.,"System, or a counsellor for previously hot leads",M020,None. Assets have already failed once.,"Three attempts, then the exit message and park.",Silence is four different signals and each gets a different response. See the silence ladder.
PB-08,Waking up an old lead,dormant_reactivation,Anyone parked for more than 30 days.,Nothing right now. Something may have changed.,"Whatever stopped them the first time, which is on record.","Parked, with a genuinely new fact available that matches their recorded objection.","Whatever the new fact is about: a new batch, a scholarship window, a result, an event.","What changed since we last spoke, in one line, with an explicit exit offered.",Never send a check in with no news. Never reuse the message that failed the first time.,"Send one message built on the new fact. If they reply, re enter the playbook for their current life stage, not the one recorded a year ago.",Automated only,45 days minimum between attempts. Two attempts in 180 days.,System,M040,R40 plus the fact specific asset,"Two attempts with no reply, then closed.","No new fact means no message. This is enforced, not advisory."
PB-09,Existing student,cross_sell,Anyone who has already paid us and is past 60 percent of their course.,"To finish what they started, and sometimes to add the piece their qualification does not cover.",Exam pressure. Fatigue. Fee for the next level.,"A match against the student master, plus course progress.","The next level, or the practical skills programme, at a combined price where one genuinely exists.","Continuity. What comes next and why now, framed around what they have already done.",Never use an acquisition opening. Never sell to a student who is behind schedule or has a complaint open.,"Send the progression or skills asset. Student Success calls, not a new lead counsellor.",Call this week,"Once a week, and never during their exam window.",Student Success,M019,"R33, R34, R17","One repeat after their exam window, then stop for 90 days.",Hard block if progress is behind schedule or a support ticket is open.
PB-10,Parent asking for their child,parent_guidance,"A parent enquiring on behalf of a student, at any stage.","Certainty that this is a safe decision for their child, and a clear total cost.","They did not study this themselves, so they cannot judge it. Cost across all levels is unclear.","Parent language on the form or in the reply, or a decision maker recorded as parent.","The full route with total cost and outcomes, plus a joint counselling slot with the student.","Outcomes and total cost, answered before anything else.",No student slang. No peer proof. No urgency. No discount language.,"Offer the parent guide or an evening call, and let them choose which.","Call this week, in the evening window","Every 3 days, evening sends only, two attempts maximum.",Counsellor,M003,"R20, R21","Two attempts, then park with a standing invitation.",Parents respond badly to persistence. Two attempts is a hard cap.
PB-11,Cannot take this course,redirect_ineligible,Anyone failing an eligibility rule or asking for a course that is the wrong step for them right now.,"The course they asked for, which they cannot have yet.","A rule they did not know about, or a sequence they misunderstood.","Eligibility check failed, or the course is too early or too late for their stage.","The nearest course that is genuinely open to them now, plus the sequence to the one they wanted.","The rule, plainly, then the open route. No apology and no workaround.",Never sell around an awarding body rule. Never imply an exception exists.,"State the reason, name the open course, offer the sequence written out.",Redirect,"Two touches, then a dated return at the eligibility window.","System, counsellor if the case is complex",M038,"R04, R08, R03","Two attempts, then park with a dated return.",No payment link may be issued to this playbook under any circumstances.
PB-12,Do not contact,suppressed,"Anyone opted out, unreachable, already converted, duplicated, or under a legal hold.",Nothing from us.,Not applicable.,A suppression reason is set.,Nothing.,Nothing. At most one confirmation that we have stopped.,Anything at all.,"Stop. Confirm once if they asked to stop, then never again.",Do not contact,None.,Compliance,M039,None,Immediate and permanent until documented re consent.,This overrides every other rule in the system.
