conflict_id,severity,the_problem,fields_involved,why_it_matters,resolution,canonical_field,status
FC-01,High,Two fields hold the same concept under different names.,"awareness_level, course_awareness_level",Two fields with identical allowed values means two places to update and two answers to the same question.,Keep one. Delete the duplicate and repoint every rule.,awareness_level,Resolved in v2
FC-02,High,The word state means two unrelated things.,"state (Indian state), lead_state",A query or a report that says state is ambiguous and will eventually be read wrong.,Rename the geography field.,state_region and journey_stage,Resolved in v2
FC-03,High,Journey means two different things in the same system.,"assigned_journey (the plan we run), lead_state (where the student actually is)",The team could not tell whether journey meant our plan or the student's position. This was the single biggest source of confusion.,Split the words. Our plan is a Playbook. Their position is a Journey stage.,assigned_playbook and journey_stage,Resolved in v2
FC-04,High,The same fact is stored in three places.,"payment_link_requested, lead_state = payment_link_sent, intent_temperature = transactional","Three copies drift apart. One says the link went out, another says it did not.",The event is the truth. The flag and the label are derived from it and are never written by hand.,payment_link_sent_at,Resolved in v2
FC-05,High,Opt out is stored in three places.,"opt_out_flag, suppression_reason, lead_state = opted_out","A person could be suppressed in one place and messageable in another. This is a compliance risk, not a tidiness issue.",One switch. suppression_reason is the only field that gates a send.,suppression_reason,Resolved in v2
FC-06,Medium,Invalid number is stored in three places.,"invalid_number_flag, lead_state = invalid, suppression_reason = invalid",Same drift risk as opt out.,Derive all three from the delivery failure count.,suppression_reason,Resolved in v2
FC-07,Medium,Attendance is stored both as a fact and as a position.,"demo_attended, counselling_attended, lead_state","The position should be calculated from the fact, not typed in separately.",Keep the facts. Calculate the stage.,"demo_attended, counselling_attended",Resolved in v2
FC-08,Medium,Three fields describe how keen someone is.,"intent_score, intent_temperature, priority_band",Three numbers for one idea invites arguments about which is right.,Score is the only stored value. Temperature and priority are labels calculated from it at read time.,intent_score,Resolved in v2
FC-09,Medium,Two source systems both claim to say where the lead came from.,"source_detail, first_source, last_source","Marketing reports from UTM data and sales reports from the CRM source, and the two never agree.",source_detail is the business answer used by every rule. The UTM fields are attribution only and never drive a message.,source_detail,Resolved in v2
FC-10,Medium,Two fields describe prior contact.,"existing_student_status, previous_ssei_interaction",Overlapping values meant an active student could also read as a new lead.,existing_student_status answers whether they ever paid. previous_ssei_interaction answers what happened before that. Values no longer overlap.,existing_student_status,Resolved in v2
FC-11,Medium,Provenance is split across two fields.,"life_stage_source, life_stage_confidence",Two fields answered one question: how much do we trust this.,Confidence is the answer. Source is kept as an audit detail only and never used in a rule.,life_stage_confidence,Resolved in v2
FC-12,Low,Three fields describe the exam date.,"exam_date_known, exam_attempt_target, days_to_target_exam",Two of the three can be calculated from the first.,Store the target. Calculate the rest nightly.,exam_attempt_target,Resolved in v2
FC-13,Low,Two fields describe a promise.,"campaign_promise_ref, promised_resource_id",Unclear which one blocks the first message.,The resource ID is what gets delivered and what blocks. The campaign reference is reporting only.,promised_resource_id,Resolved in v2
FC-14,Low,A derived value is stored and can go stale.,first_response_sla_minutes,"It is calculated from the acquisition category, so storing it means it can disagree with the rule that produced it.",Calculate at read time.,"Calculated, not stored",Resolved in v2
FC-15,Low,Bounced email is recorded twice.,"email_valid = hard_bounced, email_valid = invalid",Two values mean the same outcome for messaging.,Collapse to invalid. Keep the bounce reason as a separate note.,email_valid,Resolved in v2
FC-16,Medium,Offline access mixes a fact with a judgement.,"nearest_offline_centre, distance_to_centre_km, offline_accessible",offline_accessible looked like captured data but is a rule output.,Distance is the fact. Accessibility is derived from a threshold that lives in one place.,distance_to_centre_km,Resolved in v2
